id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
layer-1,Layer 1 (L1),784170759304.1848,-1.998031275822225,,"['https://assets.coingecko.com/coins/images/1/small/bitcoin.png?1547033579', 'https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850']",18337427286.044212,2023-08-25T14:55:17.494Z
smart-contract-platform,Smart Contract Platform,303261838818.72375,-2.010302530882365,"Smart contract platforms are usually blockchains that host smart contracts or decentralized applications. Users can interact with different smart contracts on these platforms to perform various actions such as lending and borrowing funds, staking their assets or minting NFTs.

Smart contracts are programs that are stored on the blockchain and are automatically executed when certain conditions are met. To interact with these smart contracts, transaction fees may need to be paid and the amount and asset required will vary based on the platform’s architecture. Usually, the smart contract platform’s native token is used to pay for transaction fees. Some popular examples of smart contract platforms include Ethereum, Solana and Polygon.","['https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860']",9415060459.62886,2023-08-25T14:55:04.649Z
stablecoins,Stablecoins,123925575725.903,-0.059290400648602734,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/Badge_Dai.png?1687143508']",27114060677.140984,2023-08-25T14:55:04.381Z
alleged-sec-securities,Alleged SEC Securities,81929914894.18236,-1.9419550687751899,"Tokens and cryptocurrencies alleged to be securities by the U.S. Securities and Exchange Commission (SEC). 

Note: The labeling of these cryptocurrencies as securities by the SEC doesn't equate to the legal classification till proven in a court.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860', 'https://assets.coingecko.com/coins/images/4128/small/solana.png?1640133422']",4216776349.209737,2023-08-25T14:55:02.727Z
exchange-based-tokens,Exchange-based Tokens,52605828534.99778,-1.1169170089247242,"These tokens are normally associated with both centralized and decentralized exchanges and have different purposes. For centralized exchanges, these tokens usually serve to lower trading fees for users. Traders get to enjoy discounted rates when they hold a certain amount of these tokens and even unlock special benefits such as free withdrawals and airdrops. On the other hand, these tokens also function as a governance token for decentralized exchanges. Users can vote on proposals to shape the direction of the protocol based on the number of tokens held. They can also be staked to accrue trading fees.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215', 'https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398']",973325855.8776048,2023-08-25T14:55:07.200Z
centralized-exchange-token-cex,Centralized Exchange (CEX),45142842602.50728,-0.6686268709642885,"These utility tokens are issued by a centralized exchange and can be used for a variety of purposes. Although holders are not able to exercise governance, they still carry many other benefits. Based on the amount of tokens held, users on the exchange get to enjoy discounted trading fees. Additionally, stakers can gain access to exclusive token sales on the exchange, where their allocation is also determined based on the number of exchange tokens staked.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215', 'https://assets.coingecko.com/coins/images/4463/small/WeChat_Image_20220118095654.png?1642471050']",484321069.8650932,2023-08-25T14:55:14.011Z
decentralized-finance-defi,Decentralized Finance (DeFi),42471348958.69617,-2.8177295019266064,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/9956/small/Badge_Dai.png?1687143508', 'https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398']",33826666519.325123,2023-08-25T14:55:09.082Z
liquid-staking-tokens,Liquid Staking Tokens,16279400863.355251,0.4510994972305093,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/20764/small/reth.png?1637652366', 'https://assets.coingecko.com/coins/images/28284/small/frxETH_icon.png?1679886981']",32251527.821606588,2023-08-25T14:55:19.756Z
meme-token,Meme,14702105398.31746,-3.6275607287576186,"Meme coins derive their relevance from memes, thriving on hype and picking up momentum as the community grows.","['https://assets.coingecko.com/coins/images/5/small/dogecoin.png?1547792256', 'https://assets.coingecko.com/coins/images/11939/small/shiba.png?1622619446', 'https://assets.coingecko.com/coins/images/29850/small/pepe-token.jpeg?1682922725']",763991290.5041378,2023-08-25T14:55:15.807Z
eth-2-0-staking,Eth 2.0 Staking,14349815010.672516,0.7763393669572448,"In Ethereum 2.0, the consensus algorithm is transitioned from Proof-of-Work to Proof-of-Stake, allowing users to stake their Ether and validate transactions in exchange for staking rewards. When you participate in ETH 2.0 staking solutions, you will usually receive a token which represents your staked assets but are also liquid and can be used in other protocols. Here, you can find different tokens which represent staked Ether from various protocols.","['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/27008/small/cbeth.png?1661390066', 'https://assets.coingecko.com/coins/images/4324/small/U85xTl2.png?1608111978']",29254509.50123088,2023-08-25T14:55:15.476Z
governance,Governance,11835421180.859653,-3.6297769102446287,"Governance tokens are used to determine the direction or decisions taken by a protocol. A protocol’s team or even its community members can create proposals to introduce new features or even change the terms of governance itself. Once a proposal has been discussed and further fleshed out, token holders can vote on the decision to be made. The weight of your votes is determined based on the number of governance tokens held. ","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826']",614747118.2242167,2023-08-25T14:55:07.502Z
non-fungible-tokens-nft,NFT,11335371684.467987,-2.6542917797647343,"Non-fungible tokens, or NFTs, are collectible elements within the Ethereum blockchain that usually follow the ERC-721 or ERC-1155 standard. They represent something unique and therefore are not mutually interchangeable. In other words, no non-fungible token is the same. NFTs take advantage of innovative smart contract technology to store and record unique information on the blockchain, which means that whenever an NFT is created, only one of it verifiably exists. NFT creators can also encrypt details such as rich metadata or secure file links allowing people to create all sorts of digital assets which are verifiable such as videos and songs. With NFTs, one can digitally certify that an asset is authentic.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",1133872149.6167154,2023-08-25T14:55:14.928Z
binance-launchpad,Binance Launchpad,10232257194.684183,-3.3070662275889307,"Tokens and coins launched on Binance Launchpad, a platform that assists blockchain and crypto startups in raising funds.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/12335/small/egld-token-logo.png?1673490885']",570700122.0111164,2023-08-25T14:55:01.059Z
layer-2,Layer 2 (L2),9996666908.904047,-2.8705260680952933,,"['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/30980/small/token-logo.png?1689320029', 'https://assets.coingecko.com/coins/images/16547/small/photo_2023-03-29_21.47.00.jpeg?1680097630']",582134684.3582848,2023-08-25T14:55:20.168Z
decentralized-exchange,Decentralized Exchange (DEX),7853620166.15299,-3.783324196698126,"Decentralized exchanges, or DEXs, allow users to trade with one another in a permissionless manner and without any intermediaries. As long as someone provides liquidity, anyone can purchase and sell that token on the exchange. Besides its use case in dictating governance decisions, DEX tokens usually seek to capture value for the holders by diverting some of the transaction fees to stakers. ","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/6595/small/Rune200x200.png?1671179394']",500118414.0621779,2023-08-25T14:55:03.033Z
gaming,Gaming (GameFi),7424272819.235596,-3.610850454123197,,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",952945082.8170819,2023-08-25T14:55:08.036Z
zero-knowledge-zk,Zero Knowledge (ZK),7245476215.276944,-2.8446736262431145,"Zero-knowledge proof or Zero-knowledge protocol is a method by which one party (the prover) can prove to another party (the verifier) that a given statement is true while the prover avoids conveying any additional information apart from the fact that the statement is indeed true.

This category tracks cryptocurrency that utilises Zero Knowledge implementation to execute transactions, which may include smart contract execution, value transfer, and others.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648', 'https://assets.coingecko.com/coins/images/15628/small/JM4_vQ34_400x400.png?1621394004']",323058405.819752,2023-08-25T14:55:20.909Z
yield-farming,Yield Farming,7177700053.779091,-3.702917708082936,"Yield farming is the act of staking or lending your assets in yield-farming protocols to earn a reward, usually in the form of the protocol’s governance token. For decentralized exchanges, yield farmers usually provide a pair of assets as liquidity for the exchange. They will then receive LP tokens, which represent their share of the liquidity pool and these can then be staked to yield-farm the exchange’s native token. Some protocols also offer single-sided staking, where only one particular asset is required to begin yield farming.","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139']",403869695.96536714,2023-08-25T14:55:10.183Z
metaverse,Metaverse,5845449501.725403,-3.1638958426814106,The metaverse refers to a digital world where participants can interact with each other in a shared virtual reality.,"['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082']",295175098.9675702,2023-08-25T14:55:14.298Z
automated-market-maker-amm,Automated Market Maker (AMM),5410726902.58314,-4.026622744265677,"Automated market makers (AMMs) are a mechanism used by most decentralized exchanges to facilitate permissionless trading. AMMs make use of liquidity pools containing 2 or more assets, and prices are derived based on the proportion of each asset in that pool as well as the mathematical function used. Orders through an AMM are executed automatically via a smart contract that will calculate the trade prices algorithmically, including any slippage from the trade execution.","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/12124/small/Curve.png?1597369484', 'https://assets.coingecko.com/coins/images/12632/small/pancakeswap-cake-logo_%281%29.png?1629359065']",227099250.17646942,2023-08-25T14:55:11.061Z
depin,DePIN,5016409090.865209,-0.4990169469448743,,"['https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191', 'https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934']",298695797.6820013,2023-08-25T14:55:00.750Z
play-to-earn,Play To Earn,4894098626.599553,-2.292503968000252,"Play to Earn games are built on the blockchain, giving players full control over their gaming accounts and related assets, which they can sell on exchanges or secondary marketplaces.","['https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/13029/small/axie_infinity_logo.png?1604471082', 'https://assets.coingecko.com/coins/images/17233/small/immutableX-symbol-BLK-RGB.png?1665110648']",777326989.0881982,2023-08-25T14:55:16.574Z
privacy-coins,Privacy Coins,4714725458.839968,-3.5185752884236954,"Privacy coins are cryptocurrencies which allow users to conduct transactions privately and anonymously. This ensures the identity of the parties involved are kept private, and ensures the transactions are untraceable.This is done by hiding the origin and destination of transactions. In some cases, multiple transactions are mixed together in order to make onchain analysis tougher. ","['https://assets.coingecko.com/coins/images/69/small/monero_logo.png?1547033729', 'https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/14051/small/Mask_Network.jpg?1614050316']",197509985.48213345,2023-08-25T14:55:07.747Z
wrapped-tokens,Wrapped-Tokens,4291662052.2336965,-1.90115290429053,"Wrapped tokens offer a way to circumvent the lack of interoperability between different blockchains. The wrapping of a token happens when the original asset is put into a “wrapper” and deployed on a different blockchain. With it being wrapped, the cryptocurrency can now be used on a blockchain where it previously wasn’t available. One example of a wrapped token would be Wrapped Bitcoin (WBTC). It is an ERC-20 version of Bitcoin, which allows it to be used on protocols based on Ethereum. Watch this video to learn more about Wrapped tokens.","['https://assets.coingecko.com/coins/images/7598/small/wrapped_bitcoin_wbtc.png?1548822744', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594', 'https://assets.coingecko.com/coins/images/11370/small/Bitcoin.jpg?1628072791']",798480974.9743193,2023-08-25T14:55:13.478Z
storage,Storage,4030358439.3025026,-4.139672296481107,"Storage protocols allow users to store their data on the blockchain network in a decentralized manner. This negates the need for a centralized storage host such as Amazon, OneDrive, DropBox, and others. This removes the issue of a single point of failure. Decentralized servers make use of independent nodes which in turn use spare storage space on computers. Users are able to rent out their spare storage on  In exchange for storage space, users are able to use a storage protocol’s token to pay for the service.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12817/small/filecoin.png?1602753933', 'https://assets.coingecko.com/coins/images/4343/small/oRt6SiEN_400x400.jpg?1591059616']",277446905.48951757,2023-08-25T14:55:09.614Z
oracle,Oracle,3859605757.387748,-6.000793585956855,"Oracles are used by protocols in their smart contracts in order to obtain external data. This allows the closed-off blockchain environment to communicate with data points on the outside world. For example, a protocol offering synthetic Nasdaq-listed stock on the blockchain will need to pull external data from the stock market. With an oracle, the protocol will be able to do so. ","['https://assets.coingecko.com/coins/images/877/small/chainlink-new-logo.png?1547034700', 'https://assets.coingecko.com/coins/images/9545/small/Band_token_blue_violet_token.png?1625881431', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916']",278013738.96517545,2023-08-25T14:55:09.330Z
finance-banking,Finance / Banking,3588531229.7220316,-2.183403151202697,,"['https://assets.coingecko.com/coins/images/2912/small/xdc-icon.png?1633700890', 'https://assets.coingecko.com/coins/images/9761/small/kava.png?1663638871', 'https://assets.coingecko.com/coins/images/10643/small/ceth.png?1687143191']",36831174777.945496,2023-08-25T14:55:00.168Z
liquid-staking-governance-tokens,Liquid Staking Governance Tokens,2705686005.2307587,-5.278466116797668,,"['https://assets.coingecko.com/coins/images/13573/small/Lido_DAO.png?1609873644', 'https://assets.coingecko.com/coins/images/2090/small/rocket_pool_%28RPL%29.png?1637662441', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947']",67609997.8370223,2023-08-25T14:55:19.514Z
asset-backed-tokens,Asset-backed Tokens,2611631568.3427744,-2.342698359461055,,"['https://assets.coingecko.com/coins/images/9519/small/paxgold.png?1687143101', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/10643/small/ceth.png?1687143191']",36778830958.44128,2023-08-25T14:55:05.602Z
lending-borrowing,Lending/Borrowing,2539258554.560379,-3.7198254909546304,"Lending/borrowing protocols allow users to offer crypto loans by staking their assets in them without the need for a bank account. In return for lending their assets, users are given rewards, usually in the form of the protocol’s native token. These products can be split between centralized and decentralized services. Centralized protocols require customers to undergo a Know-Your-Customer (KYC) process, while decentralized ones merely require users to have a compatible web3 wallet.","['https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826', 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110', 'https://assets.coingecko.com/coins/images/10775/small/COMP.png?1592625425']",196180647.3721718,2023-08-25T14:55:09.888Z
artificial-intelligence,Artificial Intelligence (AI),2400104000.8844166,-2.8088026557432673,"Artificial Intelligence (AI) tokens are cryptocurrencies that power AI-related projects, such as AI-powered portfolio management, image generation, path finding, and more. ","['https://assets.coingecko.com/coins/images/11636/small/rndr.png?1638840934', 'https://assets.coingecko.com/coins/images/12785/small/akash-logo.png?1615447676', 'https://assets.coingecko.com/coins/images/5681/small/Fetch.jpg?1572098136']",182173903.1749854,2023-08-25T14:55:03.355Z
internet-of-things-iot,Internet of Things (IOT),2270512950.9378366,-3.055038870502419,"The Internet of Things (IoT) ecosystem consists of interconnected computing devices, with the ability to transfer data over a network without the need for any human interaction. Cryptocurrencies in the IoT ecosystem are designed to facilitate the exchange of data and payment information with other IoT devices.","['https://assets.coingecko.com/coins/images/1167/small/VET_Token_Icon.png?1680067517', 'https://assets.coingecko.com/coins/images/692/small/IOTA_Swirl.png?1604238557', 'https://assets.coingecko.com/coins/images/4284/small/Helium_HNT.png?1612620071']",57159086.63318052,2023-08-25T14:55:04.155Z
decentralized-derivatives,Derivatives,2180796592.1132593,-2.7089260549269465,"Derivatives are contracts whose values are derived from other underlying assets such as stocks, commodities, currencies, indexes, bonds, or interest rates. Each type of derivative, whether futures, options or swaps serves a different purpose, and each investor buys or sells them for various reasons. Some of the reasons investors trade derivatives are to hedge themself against the volatility of the underlying asset, speculate on the directional movement of the underlying asset, or leverage their holdings. Derivatives are extremely risky, and one must be equipped with strong financial knowledge and strategies when trading them.
","['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360', 'https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468']",175206054.74714318,2023-08-25T14:55:12.779Z
seigniorage,Seigniorage,1390201773.056993,-1.5077717815908342,,"['https://assets.coingecko.com/coins/images/13422/small/FRAX_icon.png?1679886922', 'https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/12681/small/UST.png?1653548090']",28382874.23402113,2023-08-25T14:55:12.506Z
real-world-assets-rwa,Real World Assets (RWA),1288880092.098551,-5.644516003564696,,"['https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826', 'https://assets.coingecko.com/coins/images/23496/small/Polymesh-symbol.png?1683256883', 'https://assets.coingecko.com/coins/images/15380/small/centrifuge.PNG?1620695821']",95500924.43192548,2023-08-25T14:55:20.389Z
sports,Sports,1163372367.4977977,-2.5507613133346925,"These projects have introduced a new way for sports teams to engage with their fans and has made it easier for ordinary sports fans to show their support to their favorite teams and players. 
With Fan Tokens, fans have the power to influence their favourite sports teams in minor decisions and enter an exclusive club of like-minded supporters and VIP benefits. Sports NFTs have also allowed fans to access a smoother and more permanent form of collectible.
","['https://assets.coingecko.com/coins/images/13446/small/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776', 'https://assets.coingecko.com/coins/images/8834/small/CHZ_Token_updated.png?1675848257', 'https://assets.coingecko.com/coins/images/25057/small/fhD9Xs16_400x400.jpg?1649947000']",106500891.29900047,2023-08-25T14:55:06.950Z
socialfi,SocialFi,1159165180.3924215,-1.0057773645805517,,"['https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191', 'https://assets.coingecko.com/coins/images/10840/small/logo_transparent_4x.png?1584623184', 'https://assets.coingecko.com/coins/images/16310/small/deso-logo-refresh-white.png?1666430590']",93263139.94343714,2023-08-25T14:55:08.485Z
decentralized-perpetuals,Perpetuals,1102641866.2506497,-1.809190455508653,,"['https://assets.coingecko.com/coins/images/17500/small/hjnIm9bV.jpg?1628009360', 'https://assets.coingecko.com/coins/images/18323/small/arbit.png?1631532468', 'https://assets.coingecko.com/coins/images/13703/small/gfarm_v2.png?1611035398']",114020659.12685451,2023-08-25T14:55:14.559Z
tokenized-gold,Tokenized Gold,1054214188.3021598,-0.5665285082722513,,"['https://assets.coingecko.com/coins/images/9519/small/paxgold.png?1687143101', 'https://assets.coingecko.com/coins/images/10481/small/Tether_Gold.png?1668148656', 'https://assets.coingecko.com/coins/images/29788/small/kau-currency-ticker.png?1681290839']",12256709.226768091,2023-08-25T14:55:15.219Z
masternodes,Masternodes,1022110325.8730866,-3.2950020163642493,"Masternodes are needed to verify new blocks in certain cryptocurrencies. However, unlike other nodes, they do not add new blocks to the network. In order to maintain a masternode, one would need to hold a certain amount of the protocol’s cryptocurrency, and it’s usually a significant amount. In return for operating a masternode, the operator is rewarded with the native currency.","['https://assets.coingecko.com/coins/images/19/small/dash-logo.png?1548385930', 'https://assets.coingecko.com/coins/images/5111/small/Beldex.png?1559189036', 'https://assets.coingecko.com/coins/images/3447/small/ONT.png?1583481820']",52862308.40024896,2023-08-25T14:55:05.285Z
analytics,Analytics,952555041.4867343,-3.369679123571238,"These projects provide advanced insights and charting tools to track historical token prices, real-time trades and volume. Other more advanced features include impermanent loss calculation and data querying. Some of these projects may require you to hold a certain number of tokens to access the full version of their product suite.","['https://assets.coingecko.com/coins/images/13397/small/Graph_Token.png?1608145566', 'https://assets.coingecko.com/coins/images/14168/small/covalent-cqt.png?1624545218', 'https://assets.coingecko.com/coins/images/11603/small/dext.png?1605790188']",40058997.809379034,2023-08-25T14:55:06.696Z
synthetic-assets,Synthetic Issuer,875921323.8459061,-3.8665660186044915,,"['https://assets.coingecko.com/coins/images/3406/small/SNX.png?1598631139', 'https://assets.coingecko.com/coins/images/10951/small/UMA.png?1586307916', 'https://assets.coingecko.com/coins/images/8713/small/STP.png?1560262664']",38719928.99131657,2023-08-25T14:55:13.250Z
olympus-pro,Olympus Pro,862652329.1137145,-3.8800741799324974,"Olympus Pro aims to help protocols acquire their own liquidity, and to also lock the liquidity within the protocol. Instead of staking liquidity provider (LP) tokens in exchange for governance tokens, users will now be able to use their LP tokens to purchase the governance tokens at a discount. The protocol will not sell these LP tokens, and this means the liquidity is locked. This is known as a process called bonding.","['https://assets.coingecko.com/coins/images/13423/small/Frax_Shares_icon.png?1679886947', 'https://assets.coingecko.com/coins/images/18024/small/synapse_social_icon.png?1663921797', 'https://assets.coingecko.com/coins/images/15069/small/Pendle_Logo_Normal-03.png?1634196276']",48308203.68288474,2023-08-25T14:55:16.799Z
bridge-governance-tokens,Bridge Governance Tokens,858196966.0294882,-8.407640443931031,,"['https://assets.coingecko.com/coins/images/6595/small/Rune200x200.png?1671179394', 'https://assets.coingecko.com/coins/images/24413/small/STG_LOGO.png?1647654518', 'https://assets.coingecko.com/coins/images/27277/small/V-65_xQ1_400x400.jpeg?1663121730']",160632773.39897314,2023-08-25T14:55:02.251Z
wallets,Wallets,774133493.8627102,0.22042125432788628,,"['https://assets.coingecko.com/coins/images/11085/small/Trust.png?1588062702', 'https://assets.coingecko.com/coins/images/13905/small/sfp.png?1660381192', 'https://assets.coingecko.com/coins/images/17117/small/logo.png?1626412904']",36987541.32434593,2023-08-25T14:55:16.077Z
gambling,Gambling,720277587.8467556,11.340471470905879,,"['https://assets.coingecko.com/coins/images/24552/small/unziL6wO_400x400.jpg?1648134494', 'https://assets.coingecko.com/coins/images/13779/small/sx.png?1636034699', 'https://assets.coingecko.com/coins/images/761/small/FUN.png?1678773913']",17625496.32251101,2023-08-25T14:55:03.872Z
yield-aggregator,Yield Aggregator,705229242.9984802,-2.307315779272129,"Yield aggregators are protocols that collate multiple yield farms in a single place in order to ease the process of farming. With many new farms popping up on the market, it can be tedious for one to hop from farm to farm. However, with yield aggregators, that isn’t necessary as it’s done automatically in order to maximize the yield generated for users.","['https://assets.coingecko.com/coins/images/15585/small/convex.png?1621256328', 'https://assets.coingecko.com/coins/images/11849/small/yearn.jpg?1687142705', 'https://assets.coingecko.com/coins/images/12738/small/Stella200x200-06.png?1684988292']",56288781.17623227,2023-08-25T14:55:11.962Z
insurance,Insurance,501102886.9024041,-0.0352438389707167,,"['https://assets.coingecko.com/coins/images/11810/small/NXMmain.png?1674799570', 'https://assets.coingecko.com/coins/images/10354/small/logo-grey-circle.png?1614910406', 'https://assets.coingecko.com/coins/images/11890/small/wNXM.png?1674799594']",4361644.619176326,2023-08-25T14:55:11.648Z
mev-protection,MEV Protection,371600061.92710125,-0.07487621841951367,,"['https://assets.coingecko.com/coins/images/662/small/logo_square_simple_300px.png?1609402668', 'https://assets.coingecko.com/coins/images/6769/small/Screenshot_33.png?1581942253', 'https://assets.coingecko.com/coins/images/15985/small/ATA.jpg?1622535745']",2506561.533922846,2023-08-25T14:55:16.311Z
